PUNTO,COMUNA,AÑO,MES,SEMANA,VIDRIO,PAPEL_Y_CARTON,METAL,PLASTICO_PET,TELGOPOR,PLASTICOS_TODOS_LOS_DEMAS,TETRA_BRICK,PEQUENIOS_ELECTRODOMESTICOS,APARATOS_ELECTRONICOS_EN_DESUSO,AVUS
ESTACION VILLA SOLDATI,COMUNA 8,2015,ABRIL,1,31.2,20.7,0.27, ,0,13.41,0, , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,ABRIL,2,2.231,44.878,0, ,0,37.886,0.54, , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,ABRIL,3,38.042,27.763,1.067, ,0,17.57,0, , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,ABRIL,4,28.42,37.64,1.48, ,0,12.02,0, , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,ABRIL,5,12.33,21.51,0, ,0,4.36,0, , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,AGOSTO,1,12.785,22.496,0,0,0,5.418,0, , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,AGOSTO,2, , , , , , , , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,AGOSTO,3,9.456,13.659,0,0,0,3.741,0, , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,AGOSTO,4,9.451,16.871,1.496,0,0,9.743,0, , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,AGOSTO,5,11.745,19.421,0,0,0,5.741,0.421, , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,DICIEMBRE,1, , , , , , , , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,DICIEMBRE,2, , , , , , , , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,DICIEMBRE,3, , , , , , , , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,DICIEMBRE,4, , , , , , , , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,DICIEMBRE,5, , , , , , , , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,ENERO,1,50.19,21.12,0.99, ,0,10.28, , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,ENERO,2,75.58,28.33,0.72, ,3.74,19.46, , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,ENERO,3,27.11,21.35,3.73, ,0.57,29.13, , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,ENERO,4,33.32,15.98,0, ,0,15.29, , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,ENERO,5,18.14,11.53,1.32, ,0,10.11, , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,FEBRERO,1,12.63,16.79,0, ,0,9.22, , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,FEBRERO,2,93.82,44.92,3.38, ,3.77,27.75, , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,FEBRERO,3,89.59,24.12,2.77, ,1.54,15.82, , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,FEBRERO,4,39.61,9.74,0, ,0,10.73, , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,JULIO,1,10.758,6.12,0,0,0,16,0, , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,JULIO,2, , , , , , , , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,JULIO,3,18.56,29.459,0,0,0,16,0.789, , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,JULIO,4,19.46,22.43,1.32,0,0,19.46,0, , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,JUNIO,1,42.42,23.415,0,0,0,19.458,0, , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,JUNIO,2,29.458,38.451,0.87,0,0,8.746,0, , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,JUNIO,3,20.74,18,0,0,0,11.789,0, , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,JUNIO,4,16.895,9.413,0,0,0,6.32,0, , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,JUNIO,5, , , , , , , , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,MARZO,1,101.12,29.81,1.26, ,1.81,14.5, , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,MARZO,2,40.3,22.98,2.46, ,0,26.46, , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,MARZO,3,33.82,32.92,3.38, ,3.77,22.75, , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,MARZO,4,34.24,31.14,3.71, ,1.2,17.08, , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,MAYO,1,23.8,23.5,0.84,0,0,14.874,0, , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,MAYO,2,42.41,36.745,0,0,0,21.251,0, , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,MAYO,3,34,28.515,0.874,0,0,25.741,0, , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,MAYO,4,38.45,48.412,1.41,0,0,29.415,0, , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,NOVIEMBRE,1, , , , , , , , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,NOVIEMBRE,2, , , , , , , , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,NOVIEMBRE,3, , , , , , , , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,NOVIEMBRE,4, , , , , , , , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,NOVIEMBRE,5, , , , , , , , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,OCTUBRE,1, , , , , , , , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,OCTUBRE,2, , , , , , , , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,OCTUBRE,3, , , , , , , , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,OCTUBRE,4, , , , , , , , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,SEPTIEMBRE,1,0,0,0,0,0,0,0, , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,SEPTIEMBRE,2, , , , , , , , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,SEPTIEMBRE,3, , , , , , , , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2015,SEPTIEMBRE,4, , , , , , , , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2016,ABRIL,1, , , , , , , , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2016,ABRIL,2, , , , , , , , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2016,ABRIL,3, , , , , , , , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2016,ABRIL,4, , , , , , , , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2016,ABRIL,5, , , , , , , , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2016,AGOSTO,1,,,,,,,,,,
ESTACION VILLA SOLDATI,COMUNA 8,2016,AGOSTO,2,,,,,,,,,,
ESTACION VILLA SOLDATI,COMUNA 8,2016,AGOSTO,3,,,,,,,,,,
ESTACION VILLA SOLDATI,COMUNA 8,2016,AGOSTO,4,,,,,,,,,,
ESTACION VILLA SOLDATI,COMUNA 8,2016,ENERO,1, , , , , , , , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2016,ENERO,2, , , , , , , , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2016,ENERO,3, , , , , , , , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2016,ENERO,4, , , , , , , , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2016,ENERO,5, , , , , , , , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2016,FEBRERO,1, , , , , , , , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2016,FEBRERO,2, , , , , , , , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2016,FEBRERO,3, , , , , , , , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2016,FEBRERO,4, , , , , , , , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2016,JULIO,1,,,,,,,,,,
ESTACION VILLA SOLDATI,COMUNA 8,2016,JULIO,2,,,,,,,,,,
ESTACION VILLA SOLDATI,COMUNA 8,2016,JULIO,3,,,,,,,,,,
ESTACION VILLA SOLDATI,COMUNA 8,2016,JULIO,4,,,,,,,,,,
ESTACION VILLA SOLDATI,COMUNA 8,2016,JULIO,5,,,,,,,,,,
ESTACION VILLA SOLDATI,COMUNA 8,2016,MARZO,1, , , , , , , , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2016,MARZO,2, , , , , , , , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2016,MARZO,3, , , , , , , , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2016,MARZO,4, , , , , , , , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2016,MAYO,1, , , , , , , , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2016,MAYO,2, , , , , , , , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2016,MAYO,3, , , , , , , , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2016,MAYO,4, , , , , , , , , , 
ESTACION VILLA SOLDATI,COMUNA 8,2016,SEPTIEMBRE,1,,,,,,,,,,
ESTACION VILLA SOLDATI,COMUNA 8,2016,SEPTIEMBRE,2,,,,,,,,,,
ESTACION VILLA SOLDATI,COMUNA 8,2016,SEPTIEMBRE,3,,,,,,,,,,
ESTACION VILLA SOLDATI,COMUNA 8,2016,SEPTIEMBRE,4,,,,,,,,,,
ESTACION VILLA SOLDATI,COMUNA 8,2016,SEPTIEMBRE,5,,,,,,,,,,
PARQUE AVELLANEDA,COMUNA 9,2015,ABRIL,1,115.01,166.29,16.81, ,1.17,81.31,4.95, , , 
PARQUE AVELLANEDA,COMUNA 9,2015,ABRIL,2,113.971,113.558,28.473, ,1.309,90.877,6.309, , , 
PARQUE AVELLANEDA,COMUNA 9,2015,ABRIL,3,140.212,152.93,17.685, ,2.272,97.397,6.942, , , 
PARQUE AVELLANEDA,COMUNA 9,2015,ABRIL,4,88.981,129.333,14.799, ,1.313,68.857,4.322, , , 
PARQUE AVELLANEDA,COMUNA 9,2015,ABRIL,5,52.79,84.22,3.51, ,0,31.27,0, , , 
PARQUE AVELLANEDA,COMUNA 9,2015,AGOSTO,1,118.564,233.942,17.714,162.621,0,93.361,4, , , 
PARQUE AVELLANEDA,COMUNA 9,2015,AGOSTO,2,87.137,140.941,23.28,164.212,0,56.724,0.735, , , 
PARQUE AVELLANEDA,COMUNA 9,2015,AGOSTO,3,143.021,251.001,31.318,214.616,0,110.665,9.273, , , 
PARQUE AVELLANEDA,COMUNA 9,2015,AGOSTO,4,161.577,284.751,30.039,199.761,0,115.304,6.4, , , 
PARQUE AVELLANEDA,COMUNA 9,2015,AGOSTO,5,174.18,363.12,16.808,181.444,0,100.712,5.514, , , 
PARQUE AVELLANEDA,COMUNA 9,2015,DICIEMBRE,1,135.662,231.657,21.328,0,6.195,100.881,5.15, , , 
PARQUE AVELLANEDA,COMUNA 9,2015,DICIEMBRE,2,131.692,211.921,21.561,0,2.133,78.268,10.494, , , 
PARQUE AVELLANEDA,COMUNA 9,2015,DICIEMBRE,3,148.445,181.094,22.375,0,3.694,123.316,7.552, , , 
PARQUE AVELLANEDA,COMUNA 9,2015,DICIEMBRE,4,178.649,145.535,23.011,0,2.359,77.71,2.902, , , 
PARQUE AVELLANEDA,COMUNA 9,2015,DICIEMBRE,5,277.811,188.704,25.173,0,7.178,97.518,10.812, , , 
PARQUE AVELLANEDA,COMUNA 9,2015,ENERO,1,163.23,123.67,27.55, ,0,67.17, , , , 
PARQUE AVELLANEDA,COMUNA 9,2015,ENERO,2,143.71,138.21,7.91, ,0,67.31, , , , 
PARQUE AVELLANEDA,COMUNA 9,2015,ENERO,3,134.47,154.43,7.24, ,1.42,75.35, , , , 
PARQUE AVELLANEDA,COMUNA 9,2015,ENERO,4,124.14,205.54,13.44, ,4.65,69.74, , , , 
PARQUE AVELLANEDA,COMUNA 9,2015,ENERO,5,104.16,111.43,8.5, ,0.78,64.36, , , , 
PARQUE AVELLANEDA,COMUNA 9,2015,FEBRERO,1,152.32,106.41,9.56, ,0,51.22, , , , 
PARQUE AVELLANEDA,COMUNA 9,2015,FEBRERO,2,113.71,138.21,7.91, ,1.91,67.31, , , , 
PARQUE AVELLANEDA,COMUNA 9,2015,FEBRERO,3,84.78,180.87,9.09, ,0,65.77, , , , 
PARQUE AVELLANEDA,COMUNA 9,2015,FEBRERO,4,104.69,182.77,10.87, ,0,79.46, , , , 
PARQUE AVELLANEDA,COMUNA 9,2015,JULIO,1,190.163,245.018,12.865,188.462,1.565,59.204,5.804, , , 
PARQUE AVELLANEDA,COMUNA 9,2015,JULIO,2,128.118,187.724,35.423,382.859,5.378,95.604,8.967, , , 
PARQUE AVELLANEDA,COMUNA 9,2015,JULIO,3,124.215,225.704,21.294,342.514,0,109.724,5.274, , , 
PARQUE AVELLANEDA,COMUNA 9,2015,JULIO,4,163.39,756.63,12.7,170.69,0,90.3,4.24, , , 
PARQUE AVELLANEDA,COMUNA 9,2015,JUNIO,1,125.057,312.298,14.674,353.021,3.207,53.485,5.925, , , 
PARQUE AVELLANEDA,COMUNA 9,2015,JUNIO,2,170.63,145.257,19.656,378.218,2.411,76.658,13.336, , , 
PARQUE AVELLANEDA,COMUNA 9,2015,JUNIO,3,105.979,170.011,10.271,342.698,3.004,42.332,5.346, , , 
PARQUE AVELLANEDA,COMUNA 9,2015,JUNIO,4,88.079,103.37,11.106,419.827,1.39,32.075,2.334, , , 
PARQUE AVELLANEDA,COMUNA 9,2015,JUNIO,5, , , , , , , , , , 
PARQUE AVELLANEDA,COMUNA 9,2015,MARZO,1,125.05,140.13,19.45, ,3.22,79.79, , , , 
PARQUE AVELLANEDA,COMUNA 9,2015,MARZO,2,91.08,167.93,15.43, ,3.02,73.1, , , , 
PARQUE AVELLANEDA,COMUNA 9,2015,MARZO,3,105.25,155.62,2.41, ,0,66.9, , , , 
PARQUE AVELLANEDA,COMUNA 9,2015,MARZO,4,110.21,141.42,2.41, ,1.25,67.9, , , , 
PARQUE AVELLANEDA,COMUNA 9,2015,MAYO,1,108.589,143.816,10.555,115.829,0,68.88,4.045, , , 
PARQUE AVELLANEDA,COMUNA 9,2015,MAYO,2,134.908,188.762,18.859,209.277,0,101.837,10.362, , , 
PARQUE AVELLANEDA,COMUNA 9,2015,MAYO,3,137.938,118.807,14.057,375.642,3,49.989,0, , , 
PARQUE AVELLANEDA,COMUNA 9,2015,MAYO,4,157.073,206.042,19.936,370.305,2.503,69.984,7.148, , , 
PARQUE AVELLANEDA,COMUNA 9,2015,NOVIEMBRE,1,159.489,222.014,21.859,0,0,116.25,10.146, , , 
PARQUE AVELLANEDA,COMUNA 9,2015,NOVIEMBRE,2,184.851,235.188,38.388,0,1.946,112.569,7.308, , , 
PARQUE AVELLANEDA,COMUNA 9,2015,NOVIEMBRE,3,244.147,293.396,18.936,0,3.477,105.062,8.068, , , 
PARQUE AVELLANEDA,COMUNA 9,2015,NOVIEMBRE,4,144.533,125.022,18.448,0,3.732,91.661,4.276, , , 
PARQUE AVELLANEDA,COMUNA 9,2015,NOVIEMBRE,5, , , , , , , , , , 
PARQUE AVELLANEDA,COMUNA 9,2015,OCTUBRE,1,157.664,226.326,13.277,32.161,5.158,108.276,5.345, , , 
PARQUE AVELLANEDA,COMUNA 9,2015,OCTUBRE,2,148.614,276.556,15.314,0,0,98.924,4.68, , , 
PARQUE AVELLANEDA,COMUNA 9,2015,OCTUBRE,3,159.647,292.181,22.921,0,0,112.728,7.165, , , 
PARQUE AVELLANEDA,COMUNA 9,2015,OCTUBRE,4,164.28,237.018,18.186,0,0,181.045,9.49, , , 
PARQUE AVELLANEDA,COMUNA 9,2015,SEPTIEMBRE,1,142.827,235.971,20.453,188.082,0,116.881,15.003, , , 
PARQUE AVELLANEDA,COMUNA 9,2015,SEPTIEMBRE,2,141.715,213.804,18.116,500.432,0,98.046,4.003, , , 
PARQUE AVELLANEDA,COMUNA 9,2015,SEPTIEMBRE,3,124.929,247.871,14.633,298.754,4.753,101.544,6.961, , , 
PARQUE AVELLANEDA,COMUNA 9,2015,SEPTIEMBRE,4,164.791,164.459,13.669,141.857,2.652,93.349,4.566, , , 
PARQUE AVELLANEDA,COMUNA 9,2016,ABRIL,1,188.62,269.959,21.795,0,2.18,101.78,7.119, , , 
PARQUE AVELLANEDA,COMUNA 9,2016,ABRIL,2,267.22,212.954,15.25,0,1.502,129.265,9.934, , , 
PARQUE AVELLANEDA,COMUNA 9,2016,ABRIL,3,155.48,185.61,21.55,0,2.23,75.28,2.2, , , 
PARQUE AVELLANEDA,COMUNA 9,2016,ABRIL,4,187,275.54,27.77,0,8.42,124.69,15.94, , , 
PARQUE AVELLANEDA,COMUNA 9,2016,ABRIL,5,152.8,162.39,18.74,0,2.64,96.19,7.45, , , 
PARQUE AVELLANEDA,COMUNA 9,2016,AGOSTO,1,246.706,246.368,21.182,,3.304,108.607,17.733,,,
PARQUE AVELLANEDA,COMUNA 9,2016,AGOSTO,2,180.696,298.565,20.599,,1.12,95.123,3.293,,,
PARQUE AVELLANEDA,COMUNA 9,2016,AGOSTO,3,258.35,208.256,25.375,,2.216,102.523,3.151,,,
PARQUE AVELLANEDA,COMUNA 9,2016,AGOSTO,4,246.541,158.388,18.599,,1.145,104.754,6.257,,,
PARQUE AVELLANEDA,COMUNA 9,2016,ENERO,1,334.686,410.823,37.252,0,7.178,156.275,9.189, , , 
PARQUE AVELLANEDA,COMUNA 9,2016,ENERO,2,208.994,320.637,26.766,0,3.738,97.055,6.214, , , 
PARQUE AVELLANEDA,COMUNA 9,2016,ENERO,3,201.46,349.928,20.279,0,3.107,111.043,7.129, , , 
PARQUE AVELLANEDA,COMUNA 9,2016,ENERO,4,167.564,429.503,39.058,0,4.786,119.412,9.24, , , 
PARQUE AVELLANEDA,COMUNA 9,2016,ENERO,5, , , , , , , , , , 
PARQUE AVELLANEDA,COMUNA 9,2016,FEBRERO,1,190.195,212.872,19.298,0,4.961,97.648,5.264, , , 
PARQUE AVELLANEDA,COMUNA 9,2016,FEBRERO,2,152.55,279.002,16.218,0,2.493,138.441,4.875, , , 
PARQUE AVELLANEDA,COMUNA 9,2016,FEBRERO,3,125.232,326.985,18.147,0,4.453,106.964,3.715, , , 
PARQUE AVELLANEDA,COMUNA 9,2016,FEBRERO,4,106.662,267.0063,21.549,0,1.55,134.931,2.157, , , 
PARQUE AVELLANEDA,COMUNA 9,2016,JULIO,1,203.816,293.605,12.414,,1.577,89.256,5.305,,,
PARQUE AVELLANEDA,COMUNA 9,2016,JULIO,2,276.112,252.908,25.463,,3.926,95.038,6.709,,,
PARQUE AVELLANEDA,COMUNA 9,2016,JULIO,3,227.898,259.131,21.734,,3,88.111,5.148,,,
PARQUE AVELLANEDA,COMUNA 9,2016,JULIO,4,236.275,351.382,19.2,,2.351,121.845,8.884,,,
PARQUE AVELLANEDA,COMUNA 9,2016,JULIO,5,187.608,218.684,17.963,,1.799,77.538,6.934,,,
PARQUE AVELLANEDA,COMUNA 9,2016,JUNIO,1,221.715,120.806,18.845, ,14.262,85.367,7.728, , , 
PARQUE AVELLANEDA,COMUNA 9,2016,JUNIO,2,216.059,129.695,17.873, ,1.6,105.922,8.801, , , 
PARQUE AVELLANEDA,COMUNA 9,2016,JUNIO,3,270.86,91.67,19.89, ,2.18,42.07,11.24, , , 
PARQUE AVELLANEDA,COMUNA 9,2016,JUNIO,4,217.852,239.169,17.649, ,2.438,95.843,10.486, , , 
PARQUE AVELLANEDA,COMUNA 9,2016,MARZO,1,198.362,294.022,16.256,0,1.924,103.682,8.639, , , 
PARQUE AVELLANEDA,COMUNA 9,2016,MARZO,2,148.387,290.546,25.359,0,4.476,111.499,8.514, , , 
PARQUE AVELLANEDA,COMUNA 9,2016,MARZO,3,190.418,270.889,25.807,0,2.875,127.098,9.454, , , 
PARQUE AVELLANEDA,COMUNA 9,2016,MARZO,4,170.166,293.051,18.146,0,2.233,84.972,7.992, , , 
PARQUE AVELLANEDA,COMUNA 9,2016,MAYO,1,206.99,281.09,24.7,0,3.16,148.46,11.92, , , 
PARQUE AVELLANEDA,COMUNA 9,2016,MAYO,2,138.14,204.39,23.19,0,4.61,99.32,8.52, , , 
PARQUE AVELLANEDA,COMUNA 9,2016,MAYO,3,141.91,241.84,16.24,0,2.2,79.31,7.03, , , 
PARQUE AVELLANEDA,COMUNA 9,2016,MAYO,4,136.11,169.82,19.82,0,2.62,70.6,6.76, , , 
PARQUE AVELLANEDA,COMUNA 9,2016,SEPTIEMBRE,1,193.972,264.523,27.835,,1.241,107.594,11.346,,,
PARQUE AVELLANEDA,COMUNA 9,2016,SEPTIEMBRE,2,188.605,213.661,25.735,,2.158,108.633,6.235,,,
PARQUE AVELLANEDA,COMUNA 9,2016,SEPTIEMBRE,3,206.988,213.467,26.397,,4.816,188.198,9.261,,,
PARQUE AVELLANEDA,COMUNA 9,2016,SEPTIEMBRE,4,,,,,,,,,,
PARQUE AVELLANEDA,COMUNA 9,2016,SEPTIEMBRE,5,,,,,,,,,,
PARQUE CENTENARIO,COMUNA 6,2015,ABRIL,1,139.625,207.941,5.224,67.77,3.814,85.35,10.026,38.623,32.052, 
PARQUE CENTENARIO,COMUNA 6,2015,ABRIL,2,269.9,373.5,15.24,94.22,4.7,122.44,18.34,77.83,99.24, 
PARQUE CENTENARIO,COMUNA 6,2015,ABRIL,3,189.92,262.85,15.06,86.89,3.73,81.82,10.08,143.32,51.58, 
PARQUE CENTENARIO,COMUNA 6,2015,ABRIL,4,163.6,213,13.07,73.67,4.98,59.65,5.68,43.58,95.76, 
PARQUE CENTENARIO,COMUNA 6,2015,ABRIL,5,289.82,555.85,17.01,109.64,5.14,92.86,16.86,30.88,118.66, 
PARQUE CENTENARIO,COMUNA 6,2015,AGOSTO,1,427.19,591.15,34.25,251.55,5.16,237.29,23.51,103.32,123.12, 
PARQUE CENTENARIO,COMUNA 6,2015,AGOSTO,2,259.99,348.81,14.73,205.4,4.88,122.57,16.01,174.49,120.56, 
PARQUE CENTENARIO,COMUNA 6,2015,AGOSTO,3,336.71,559.54,24.87,275.71,3.9,233.01,17.93,123.28,55.78, 
PARQUE CENTENARIO,COMUNA 6,2015,AGOSTO,4,442.52,526.27,20.18,281.32,7.38,245.72,30.19,91.84,119.27, 
PARQUE CENTENARIO,COMUNA 6,2015,AGOSTO,5,375.16,563.32,18.75,424.53,10.38,263.88,18.55,140.44,220.88, 
PARQUE CENTENARIO,COMUNA 6,2015,DICIEMBRE,1,305.41,536.53,21.6,142.81,8.46,148.54,23.15,58.8,68.9, 
PARQUE CENTENARIO,COMUNA 6,2015,DICIEMBRE,2,230.13,256.47,21.14,124.45,4.73,127.97,18.07,38.85,46, 
PARQUE CENTENARIO,COMUNA 6,2015,DICIEMBRE,3,896.39,1292.45,65.93,492.81,17.82,476.58,58.69,138.82,232.2, 
PARQUE CENTENARIO,COMUNA 6,2015,DICIEMBRE,4,315.42,484.43,18.53,143.98,6.19,155.6,10.08,33.67,145.5, 
PARQUE CENTENARIO,COMUNA 6,2015,DICIEMBRE,5,398.69,601.03,33.89,176.4,3.64,192.46,18.64,72.59,77.34, 
PARQUE CENTENARIO,COMUNA 6,2015,ENERO,1,341.87,353.68,14.68,109.97,6.94,60.33,10.97,188.6,227.68, 
PARQUE CENTENARIO,COMUNA 6,2015,ENERO,2,262.15,336.5,11.95,98.05,6.59,37.37,13.29,24.52,234.65, 
PARQUE CENTENARIO,COMUNA 6,2015,ENERO,3,254.82,338.6,23.69,152.07,6.77,108.02,25.39,107.39,105.99, 
PARQUE CENTENARIO,COMUNA 6,2015,ENERO,4,156.54,334.72,156.15,117.59,5.8,65.42,19.42,62.72,465.57, 
PARQUE CENTENARIO,COMUNA 6,2015,ENERO,5,544.17,297.92,8.71,164.99,4.88,102.17,16.83,77.33,357.55, 
PARQUE CENTENARIO,COMUNA 6,2015,FEBRERO,1,220,277,17,125,8,115,10.5,62,209, 
PARQUE CENTENARIO,COMUNA 6,2015,FEBRERO,2,248.03,271.01,6.97,94.43,5.63,123.95,13.25,66.85,180.42, 
PARQUE CENTENARIO,COMUNA 6,2015,FEBRERO,3,156.57,118.32,25.52,56.38,2.7,38.17,6.7,68.02,130.82, 
PARQUE CENTENARIO,COMUNA 6,2015,FEBRERO,4,206.62,213.09,4.87,80.48,9.71,113.14,14.88,82.69,205.13, 
PARQUE CENTENARIO,COMUNA 6,2015,JULIO,1,417.06,541.16,29.77,422.89,4.73,230.78,22.85,27.78,100.67, 
PARQUE CENTENARIO,COMUNA 6,2015,JULIO,2,393.35,492.47,23.51,404.14,9.4,212.28,21.52,121.52,179.27, 
PARQUE CENTENARIO,COMUNA 6,2015,JULIO,3,248.32,485.5,14.29,389.41,4.64,161.57,14.32,33.2,115.37, 
PARQUE CENTENARIO,COMUNA 6,2015,JULIO,4,369.41,526.44,22.84,260.41,8.07,220.64,25.09,88.83,192.82, 
PARQUE CENTENARIO,COMUNA 6,2015,JUNIO,1,334.19,442.45,16.12,472.96,9.06,128.51,23.2,86.12,118.85, 
PARQUE CENTENARIO,COMUNA 6,2015,JUNIO,2,360.12,356.55,14.95,493.6,9.78,145.94,19.94,84.26,132.43, 
PARQUE CENTENARIO,COMUNA 6,2015,JUNIO,3,313.22,378.71,18.38,278.94,7.12,143.87,10.9,55.56,145.58, 
PARQUE CENTENARIO,COMUNA 6,2015,JUNIO,4, , , , , , , , , , 
PARQUE CENTENARIO,COMUNA 6,2015,JUNIO,5,257.74,340.69,11.15,355.42,3.15,128.7,9,33.39,180, 
PARQUE CENTENARIO,COMUNA 6,2015,MARZO,1,237.06,254.42,12.37,142.02,7.03,137.41,20.44,26.22,46.72, 
PARQUE CENTENARIO,COMUNA 6,2015,MARZO,2,243.52,261.16,11.52,123.19,5.99,156.33,14.05,57.39,136.82, 
PARQUE CENTENARIO,COMUNA 6,2015,MARZO,3,189.27,255.72,14.09,117.49,4.97,144.65,19.37,86.72,145.44, 
PARQUE CENTENARIO,COMUNA 6,2015,MARZO,4,227.87,266.08,10.17,105.15,5.24,137.55,8.89,116.55,363.75, 
PARQUE CENTENARIO,COMUNA 6,2015,MAYO,1,243.32,201.09,12.61,350.14,1.9,104.68,16.75,35.17,97.77, 
PARQUE CENTENARIO,COMUNA 6,2015,MAYO,2,364.13,422.44,25.16,441.64,3.6,121.54,27.33,30.3,258.69, 
PARQUE CENTENARIO,COMUNA 6,2015,MAYO,3,333.55,478.27,30.08,691.71,5.05,130.56,38.76,123.38,204.21, 
PARQUE CENTENARIO,COMUNA 6,2015,MAYO,4,272.15,372.31,19.71,418.35,5.25,146.29,26.7,28.98,147.1, 
PARQUE CENTENARIO,COMUNA 6,2016,MAYO,1,344.416,581.519,26.901,81.5,5.726,291.046,22.791,84.367,62.6,
PARQUE CENTENARIO,COMUNA 6,2016,MAYO,2,376.357,691.123,29.945,105.907,12.861,217.023,30.744,93.074,27,
PARQUE CENTENARIO,COMUNA 6,2016,MAYO,3,318.023,641.994,20.866,104.925,7.826,200.168,20.239,51.68,168.383,
PARQUE CENTENARIO,COMUNA 6,2016,MAYO,4,227.793,376.646,17.309,56.111,1.887,133.949,14.895,17.253,145.863,
PARQUE CENTENARIO,COMUNA 6,2015,NOVIEMBRE,1,386.04,371.31,35.22,134.15,4.19,124.41,22.8,30.9,100.7, 
PARQUE CENTENARIO,COMUNA 6,2015,NOVIEMBRE,2,349.72,426.1,21.93,142.66,4.21,161.73,13.11,62.15,59.6, 
PARQUE CENTENARIO,COMUNA 6,2015,NOVIEMBRE,3,277.11,316.62,18.71,127.46,3.79,137.6,20.05,44.3,35, 
