NOMBRE_PUNTO,COMUNA,AÑO,MES,SEMANA,VISITAS
BALCARCE,COMUNA 13,2016,AGOSTO,03/08 - 07/08,187
CASTELLI,COMUNA 13,2016,AGOSTO,03/08 - 07/08,95
PALERMO VIEJO,COMUNA 14,2016,AGOSTO,03/08 - 07/08,76
GUEMES,COMUNA 14,2016,AGOSTO,03/08 - 07/08,204
25 DE AGOSTO,COMUNA 15,2016,AGOSTO,03/08 - 07/08,0
PARQUE LOS ANDES,COMUNA 15,2016,AGOSTO,03/08 - 07/08,189
SAN MARTIN,COMUNA 1,2016,AGOSTO,10/08 - 14/08,89
MUJERES ARGENTINAS,COMUNA 1,2016,AGOSTO,10/08 - 14/08,20
VERA PEÑALOZA,COMUNA 1,2016,AGOSTO,10/08 - 14/08,420
MITRE,COMUNA 2,2016,AGOSTO,10/08 - 14/08,163
MONSEÑOR DE ANDREA,COMUNA 2,2016,AGOSTO,10/08 - 14/08,186
1RO DE MAYO,COMUNA 3,2016,AGOSTO,10/08 - 14/08,243
VELAZCO IBARRA,COMUNA 3,2016,AGOSTO,10/08 - 14/08,87
COLOMBIA,COMUNA 4,2016,AGOSTO,10/08 - 14/08,359
PARQUE PATRICIOS,COMUNA 4,2016,AGOSTO,10/08 - 14/08,117
BOEDO,COMUNA 5,2016,AGOSTO,10/08 - 14/08,321
ALMAGRO,COMUNA 5,2016,AGOSTO,10/08 - 14/08,360
PARQUE RIVADAVIA,COMUNA 6,2016,AGOSTO,10/08 - 14/08,246
PARQUE CENTENARIO,COMUNA 6,2016,AGOSTO,10/08 - 14/08,433
PARQUE CHACABUCO,COMUNA 7,2016,AGOSTO,10/08 - 14/08,499
PUEYRREDON,COMUNA 7,2016,AGOSTO,10/08 - 14/08,294
SOLDATI,COMUNA 8,2016,AGOSTO,10/08 - 14/08,0
SUDAMERICA,COMUNA 8,2016,AGOSTO,10/08 - 14/08,76
PARQUE AVELLANEDA,COMUNA 9,2016,AGOSTO,10/08 - 14/08,150
PARQUE SANTOJANNI,COMUNA 9,2016,AGOSTO,10/08 - 14/08,95
VELEZ SARFIELD,COMUNA 10,2016,AGOSTO,10/08 - 14/08,285
DON BOSCO,COMUNA 10,2016,AGOSTO,10/08 - 14/08,453
ARISTOBULO DEL VALLE,COMUNA 11,2016,AGOSTO,10/08 - 14/08,207
ARENALES,COMUNA 11,2016,AGOSTO,10/08 - 14/08,625
ALEM,COMUNA 12,2016,AGOSTO,10/08 - 14/08,302
PARQUE SAAVEDRA,COMUNA 12,2016,AGOSTO,10/08 - 14/08,438
MANUEL BELGRANO,COMUNA 13,2016,AGOSTO,10/08 - 14/08,0
BALCARCE,COMUNA 13,2016,AGOSTO,10/08 - 14/08,162
CASTELLI,COMUNA 13,2016,AGOSTO,10/08 - 14/08,84
PALERMO VIEJO,COMUNA 14,2016,AGOSTO,10/08 - 14/08,83
GUEMES,COMUNA 14,2016,AGOSTO,10/08 - 14/08,154
25 DE AGOSTO,COMUNA 15,2016,AGOSTO,10/08 - 14/08,0
PARQUE LOS ANDES,COMUNA 15,2016,AGOSTO,10/08 - 14/08,216
SAN MARTIN,COMUNA 1,2016,AGOSTO,17/08 - 21/08,99
MUJERES ARGENTINAS,COMUNA 1,2016,AGOSTO,17/08 - 21/08,20
VERA PEÑALOZA,COMUNA 1,2016,AGOSTO,17/08 - 21/08,465
MITRE,COMUNA 2,2016,AGOSTO,17/08 - 21/08,197
MONSEÑOR DE ANDREA,COMUNA 2,2016,AGOSTO,17/08 - 21/08,167
1RO DE MAYO,COMUNA 3,2016,AGOSTO,17/08 - 21/08,250
VELAZCO IBARRA,COMUNA 3,2016,AGOSTO,17/08 - 21/08,112
COLOMBIA,COMUNA 4,2016,AGOSTO,17/08 - 21/08,348
PARQUE PATRICIOS,COMUNA 4,2016,AGOSTO,17/08 - 21/08,99
BOEDO,COMUNA 5,2016,AGOSTO,17/08 - 21/08,341
ALMAGRO,COMUNA 5,2016,AGOSTO,17/08 - 21/08,372
PARQUE RIVADAVIA,COMUNA 6,2016,AGOSTO,17/08 - 21/08,277
PARQUE CENTENARIO,COMUNA 6,2016,AGOSTO,17/08 - 21/08,442
PARQUE CHACABUCO,COMUNA 7,2016,AGOSTO,17/08 - 21/08,489
PUEYRREDON,COMUNA 7,2016,AGOSTO,17/08 - 21/08,293
SOLDATI,COMUNA 8,2016,AGOSTO,17/08 - 21/08,0
SUDAMERICA,COMUNA 8,2016,AGOSTO,17/08 - 21/08,72
PARQUE AVELLANEDA,COMUNA 9,2016,AGOSTO,17/08 - 21/08,169
PARQUE SANTOJANNI,COMUNA 9,2016,AGOSTO,17/08 - 21/08,103
VELEZ SARFIELD,COMUNA 10,2016,AGOSTO,17/08 - 21/08,286
DON BOSCO,COMUNA 10,2016,AGOSTO,17/08 - 21/08,591
ARISTOBULO DEL VALLE,COMUNA 11,2016,AGOSTO,17/08 - 21/08,250
ARENALES,COMUNA 11,2016,AGOSTO,17/08 - 21/08,668
ALEM,COMUNA 12,2016,AGOSTO,17/08 - 21/08,286
PARQUE SAAVEDRA,COMUNA 12,2016,AGOSTO,17/08 - 21/08,458
MANUEL BELGRANO,COMUNA 13,2016,AGOSTO,17/08 - 21/08,0
BALCARCE,COMUNA 13,2016,AGOSTO,17/08 - 21/08,172
CASTELLI,COMUNA 13,2016,AGOSTO,17/08 - 21/08,93
PALERMO VIEJO,COMUNA 14,2016,AGOSTO,17/08 - 21/08,75
GUEMES,COMUNA 14,2016,AGOSTO,17/08 - 21/08,169
25 DE AGOSTO,COMUNA 15,2016,AGOSTO,17/08 - 21/08,0
PARQUE LOS ANDES,COMUNA 15,2016,AGOSTO,17/08 - 21/08,297
SAN MARTIN,COMUNA 1,2016,AGOSTO,24/08 - 28/08,82
MUJERES ARGENTINAS,COMUNA 1,2016,AGOSTO,24/08 - 28/08,21
VERA PEÑALOZA,COMUNA 1,2016,AGOSTO,24/08 - 28/08,392
MITRE,COMUNA 2,2016,AGOSTO,24/08 - 28/08,142
MONSEÑOR DE ANDREA,COMUNA 2,2016,AGOSTO,24/08 - 28/08,123
1RO DE MAYO,COMUNA 3,2016,AGOSTO,24/08 - 28/08,246
VELAZCO IBARRA,COMUNA 3,2016,AGOSTO,24/08 - 28/08,75
COLOMBIA,COMUNA 4,2016,AGOSTO,24/08 - 28/08,337
PARQUE PATRICIOS,COMUNA 4,2016,AGOSTO,24/08 - 28/08,103
BOEDO,COMUNA 5,2016,AGOSTO,24/08 - 28/08,282
ALMAGRO,COMUNA 5,2016,AGOSTO,24/08 - 28/08,323
PARQUE RIVADAVIA,COMUNA 6,2016,AGOSTO,24/08 - 28/08,188
PARQUE CENTENARIO,COMUNA 6,2016,AGOSTO,24/08 - 28/08,381
PARQUE CHACABUCO,COMUNA 7,2016,AGOSTO,24/08 - 28/08,316
PUEYRREDON,COMUNA 7,2016,AGOSTO,24/08 - 28/08,248
SOLDATI,COMUNA 8,2016,AGOSTO,24/08 - 28/08,0
SUDAMERICA,COMUNA 8,2016,AGOSTO,24/08 - 28/08,38
PARQUE AVELLANEDA,COMUNA 9,2016,AGOSTO,24/08 - 28/08,145
PARQUE SANTOJANNI,COMUNA 9,2016,AGOSTO,24/08 - 28/08,90
VELEZ SARFIELD,COMUNA 10,2016,AGOSTO,24/08 - 28/08,244
DON BOSCO,COMUNA 10,2016,AGOSTO,24/08 - 28/08,465
ARISTOBULO DEL VALLE,COMUNA 11,2016,AGOSTO,24/08 - 28/08,225
ARENALES,COMUNA 11,2016,AGOSTO,24/08 - 28/08,572
ALEM,COMUNA 12,2016,AGOSTO,24/08 - 28/08,287
PARQUE SAAVEDRA,COMUNA 12,2016,AGOSTO,24/08 - 28/08,289
MANUEL BELGRANO,COMUNA 13,2016,AGOSTO,24/08 - 28/08,0
BALCARCE,COMUNA 13,2016,AGOSTO,24/08 - 28/08,160
CASTELLI,COMUNA 13,2016,AGOSTO,24/08 - 28/08,72
PALERMO VIEJO,COMUNA 14,2016,AGOSTO,24/08 - 28/08,60
GUEMES,COMUNA 14,2016,AGOSTO,24/08 - 28/08,158
25 DE AGOSTO,COMUNA 15,2016,AGOSTO,24/08 - 28/08,0
PARQUE LOS ANDES,COMUNA 15,2016,AGOSTO,24/08 - 28/08,199
SAN MARTIN,COMUNA 1,2016,SEPTIEMBRE,31/08 - 04/09,82
MUJERES ARGENTINAS,COMUNA 1,2016,SEPTIEMBRE,31/08 - 04/09,19
VERA PEÑALOZA,COMUNA 1,2016,SEPTIEMBRE,31/08 - 04/09,461
MITRE,COMUNA 2,2016,SEPTIEMBRE,31/08 - 04/09,177
MONSEÑOR DE ANDREA,COMUNA 2,2016,SEPTIEMBRE,31/08 - 04/09,146
1RO DE MAYO,COMUNA 3,2016,SEPTIEMBRE,31/08 - 04/09,262
VELAZCO IBARRA,COMUNA 3,2016,SEPTIEMBRE,31/08 - 04/09,117
COLOMBIA,COMUNA 4,2016,SEPTIEMBRE,31/08 - 04/09,323
PARQUE PATRICIOS,COMUNA 4,2016,SEPTIEMBRE,31/08 - 04/09,66
BOEDO,COMUNA 5,2016,SEPTIEMBRE,31/08 - 04/09,322
ALMAGRO,COMUNA 5,2016,SEPTIEMBRE,31/08 - 04/09,246
PARQUE RIVADAVIA,COMUNA 6,2016,SEPTIEMBRE,31/08 - 04/09,285
PARQUE CENTENARIO,COMUNA 6,2016,SEPTIEMBRE,31/08 - 04/09,352
PARQUE CHACABUCO,COMUNA 7,2016,SEPTIEMBRE,31/08 - 04/09,400
PUEYRREDON,COMUNA 7,2016,SEPTIEMBRE,31/08 - 04/09,322
SOLDATI,COMUNA 8,2016,SEPTIEMBRE,31/08 - 04/09,0
SUDAMERICA,COMUNA 8,2016,SEPTIEMBRE,31/08 - 04/09,72
PARQUE AVELLANEDA,COMUNA 9,2016,SEPTIEMBRE,31/08 - 04/09,191
PARQUE SANTOJANNI,COMUNA 9,2016,SEPTIEMBRE,31/08 - 04/09,112
VELEZ SARFIELD,COMUNA 10,2016,SEPTIEMBRE,31/08 - 04/09,281
DON BOSCO,COMUNA 10,2016,SEPTIEMBRE,31/08 - 04/09,798
ARISTOBULO DEL VALLE,COMUNA 11,2016,SEPTIEMBRE,31/08 - 04/09,230
ARENALES,COMUNA 11,2016,SEPTIEMBRE,31/08 - 04/09,703
ALEM,COMUNA 12,2016,SEPTIEMBRE,31/08 - 04/09,328
PARQUE SAAVEDRA,COMUNA 12,2016,SEPTIEMBRE,31/08 - 04/09,424
MANUEL BELGRANO,COMUNA 13,2016,SEPTIEMBRE,31/08 - 04/09,0
BALCARCE,COMUNA 13,2016,SEPTIEMBRE,31/08 - 04/09,187
CASTELLI,COMUNA 13,2016,SEPTIEMBRE,31/08 - 04/09,97
PALERMO VIEJO,COMUNA 14,2016,SEPTIEMBRE,31/08 - 04/09,79
GUEMES,COMUNA 14,2016,SEPTIEMBRE,31/08 - 04/09,194
25 DE AGOSTO,COMUNA 15,2016,SEPTIEMBRE,31/08 - 04/09,0
PARQUE LOS ANDES,COMUNA 15,2016,SEPTIEMBRE,31/08 - 04/09,235
SAN MARTIN,COMUNA 1,2016,SEPTIEMBRE,07/09 - 11/09,81
MUJERES ARGENTINAS,COMUNA 1,2016,SEPTIEMBRE,07/09 - 11/09,35
VERA PEÑALOZA,COMUNA 1,2016,SEPTIEMBRE,07/09 - 11/09,542
MITRE,COMUNA 2,2016,SEPTIEMBRE,07/09 - 11/09,162
MONSEÑOR DE ANDREA,COMUNA 2,2016,SEPTIEMBRE,07/09 - 11/09,186
1RO DE MAYO,COMUNA 3,2016,SEPTIEMBRE,07/09 - 11/09,264
VELAZCO IBARRA,COMUNA 3,2016,SEPTIEMBRE,07/09 - 11/09,86
COLOMBIA,COMUNA 4,2016,SEPTIEMBRE,07/09 - 11/09,354
PARQUE PATRICIOS,COMUNA 4,2016,SEPTIEMBRE,07/09 - 11/09,122
BOEDO,COMUNA 5,2016,SEPTIEMBRE,07/09 - 11/09,343
ALMAGRO,COMUNA 5,2016,SEPTIEMBRE,07/09 - 11/09,284
PARQUE RIVADAVIA,COMUNA 6,2016,SEPTIEMBRE,07/09 - 11/09,253
PARQUE CENTENARIO,COMUNA 6,2016,SEPTIEMBRE,07/09 - 11/09,456
PARQUE CHACABUCO,COMUNA 7,2016,SEPTIEMBRE,07/09 - 11/09,378
PUEYRREDON,COMUNA 7,2016,SEPTIEMBRE,07/09 - 11/09,287
SOLDATI,COMUNA 8,2016,SEPTIEMBRE,07/09 - 11/09,0
SUDAMERICA,COMUNA 8,2016,SEPTIEMBRE,07/09 - 11/09,75
PARQUE AVELLANEDA,COMUNA 9,2016,SEPTIEMBRE,07/09 - 11/09,189
PARQUE SANTOJANNI,COMUNA 9,2016,SEPTIEMBRE,07/09 - 11/09,94
VELEZ SARFIELD,COMUNA 10,2016,SEPTIEMBRE,07/09 - 11/09,309
DON BOSCO,COMUNA 10,2016,SEPTIEMBRE,07/09 - 11/09,629
ARISTOBULO DEL VALLE,COMUNA 11,2016,SEPTIEMBRE,07/09 - 11/09,298
ARENALES,COMUNA 11,2016,SEPTIEMBRE,07/09 - 11/09,715
ALEM,COMUNA 12,2016,SEPTIEMBRE,07/09 - 11/09,296
PARQUE SAAVEDRA,COMUNA 12,2016,SEPTIEMBRE,07/09 - 11/09,448
MANUEL BELGRANO,COMUNA 13,2016,SEPTIEMBRE,07/09 - 11/09,0
BALCARCE,COMUNA 13,2016,SEPTIEMBRE,07/09 - 11/09,211
CASTELLI,COMUNA 13,2016,SEPTIEMBRE,07/09 - 11/09,92
PALERMO VIEJO,COMUNA 14,2016,SEPTIEMBRE,07/09 - 11/09,90
GUEMES,COMUNA 14,2016,SEPTIEMBRE,07/09 - 11/09,147
25 DE AGOSTO,COMUNA 15,2016,SEPTIEMBRE,07/09 - 11/09,0
PARQUE LOS ANDES,COMUNA 15,2016,SEPTIEMBRE,07/09 - 11/09,264
SAN MARTIN,COMUNA 1,2016,SEPTIEMBRE,14/09 - 18/09,60
MUJERES ARGENTINAS,COMUNA 1,2016,SEPTIEMBRE,14/09 - 18/09,20
VERA PEÑALOZA,COMUNA 1,2016,SEPTIEMBRE,14/09 - 18/09,526
MITRE,COMUNA 2,2016,SEPTIEMBRE,14/09 - 18/09,171
MONSEÑOR DE ANDREA,COMUNA 2,2016,SEPTIEMBRE,14/09 - 18/09,181
1RO DE MAYO,COMUNA 3,2016,SEPTIEMBRE,14/09 - 18/09,278
VELAZCO IBARRA,COMUNA 3,2016,SEPTIEMBRE,14/09 - 18/09,110
COLOMBIA,COMUNA 4,2016,SEPTIEMBRE,14/09 - 18/09,309
PARQUE PATRICIOS,COMUNA 4,2016,SEPTIEMBRE,14/09 - 18/09,138
BOEDO,COMUNA 5,2016,SEPTIEMBRE,14/09 - 18/09,325
ALMAGRO,COMUNA 5,2016,SEPTIEMBRE,14/09 - 18/09,248
PARQUE RIVADAVIA,COMUNA 6,2016,SEPTIEMBRE,14/09 - 18/09,185
PARQUE CENTENARIO,COMUNA 6,2016,SEPTIEMBRE,14/09 - 18/09,418
PARQUE CHACABUCO,COMUNA 7,2016,SEPTIEMBRE,14/09 - 18/09,391
PUEYRREDON,COMUNA 7,2016,SEPTIEMBRE,14/09 - 18/09,306
SOLDATI,COMUNA 8,2016,SEPTIEMBRE,14/09 - 18/09,0
SUDAMERICA,COMUNA 8,2016,SEPTIEMBRE,14/09 - 18/09,70
PARQUE AVELLANEDA,COMUNA 9,2016,SEPTIEMBRE,14/09 - 18/09,206
PARQUE SANTOJANNI,COMUNA 9,2016,SEPTIEMBRE,14/09 - 18/09,114
VELEZ SARFIELD,COMUNA 10,2016,SEPTIEMBRE,14/09 - 18/09,289
DON BOSCO,COMUNA 10,2016,SEPTIEMBRE,14/09 - 18/09,614
ARISTOBULO DEL VALLE,COMUNA 11,2016,SEPTIEMBRE,14/09 - 18/09,280
ARENALES,COMUNA 11,2016,SEPTIEMBRE,14/09 - 18/09,624
ALEM,COMUNA 12,2016,SEPTIEMBRE,14/09 - 18/09,273
PARQUE SAAVEDRA,COMUNA 12,2016,SEPTIEMBRE,14/09 - 18/09,409
MANUEL BELGRANO,COMUNA 13,2016,SEPTIEMBRE,14/09 - 18/09,0
BALCARCE,COMUNA 13,2016,SEPTIEMBRE,14/09 - 18/09,169
CASTELLI,COMUNA 13,2016,SEPTIEMBRE,14/09 - 18/09,87
PALERMO VIEJO,COMUNA 14,2016,SEPTIEMBRE,14/09 - 18/09,111
GUEMES,COMUNA 14,2016,SEPTIEMBRE,14/09 - 18/09,166
25 DE AGOSTO,COMUNA 15,2016,SEPTIEMBRE,14/09 - 18/09,0
PARQUE LOS ANDES,COMUNA 15,2016,SEPTIEMBRE,14/09 - 18/09,217
SAN MARTIN,COMUNA 1,2016,SEPTIEMBRE,21/09 - 25/09,
MUJERES ARGENTINAS,COMUNA 1,2016,SEPTIEMBRE,21/09 - 25/09,
VERA PEÑALOZA,COMUNA 1,2016,SEPTIEMBRE,21/09 - 25/09,
MITRE,COMUNA 2,2016,SEPTIEMBRE,21/09 - 25/09,
MONSEÑOR DE ANDREA,COMUNA 2,2016,SEPTIEMBRE,21/09 - 25/09,
1RO DE MAYO,COMUNA 3,2016,SEPTIEMBRE,21/09 - 25/09,
VELAZCO IBARRA,COMUNA 3,2016,SEPTIEMBRE,21/09 - 25/09,
COLOMBIA,COMUNA 4,2016,SEPTIEMBRE,21/09 - 25/09,
PARQUE PATRICIOS,COMUNA 4,2016,SEPTIEMBRE,21/09 - 25/09,
BOEDO,COMUNA 5,2016,SEPTIEMBRE,21/09 - 25/09,
ALMAGRO,COMUNA 5,2016,SEPTIEMBRE,21/09 - 25/09,
PARQUE RIVADAVIA,COMUNA 6,2016,SEPTIEMBRE,21/09 - 25/09,
PARQUE CENTENARIO,COMUNA 6,2016,SEPTIEMBRE,21/09 - 25/09,451
PARQUE CHACABUCO,COMUNA 7,2016,SEPTIEMBRE,21/09 - 25/09,
PUEYRREDON,COMUNA 7,2016,SEPTIEMBRE,21/09 - 25/09,
SOLDATI,COMUNA 8,2016,SEPTIEMBRE,21/09 - 25/09,
SUDAMERICA,COMUNA 8,2016,SEPTIEMBRE,21/09 - 25/09,
PARQUE AVELLANEDA,COMUNA 9,2016,SEPTIEMBRE,21/09 - 25/09,
PARQUE SANTOJANNI,COMUNA 9,2016,SEPTIEMBRE,21/09 - 25/09,
VELEZ SARFIELD,COMUNA 10,2016,SEPTIEMBRE,21/09 - 25/09,
DON BOSCO,COMUNA 10,2016,SEPTIEMBRE,21/09 - 25/09,
ARISTOBULO DEL VALLE,COMUNA 11,2016,SEPTIEMBRE,21/09 - 25/09,
ARENALES,COMUNA 11,2016,SEPTIEMBRE,21/09 - 25/09,594
ALEM,COMUNA 12,2016,SEPTIEMBRE,21/09 - 25/09,
PARQUE SAAVEDRA,COMUNA 12,2016,SEPTIEMBRE,21/09 - 25/09,
MANUEL BELGRANO,COMUNA 13,2016,SEPTIEMBRE,21/09 - 25/09,
BALCARCE,COMUNA 13,2016,SEPTIEMBRE,21/09 - 25/09,
CASTELLI,COMUNA 13,2016,SEPTIEMBRE,21/09 - 25/09,
PALERMO VIEJO,COMUNA 14,2016,SEPTIEMBRE,21/09 - 25/09,
GUEMES,COMUNA 14,2016,SEPTIEMBRE,21/09 - 25/09,
25 DE AGOSTO,COMUNA 15,2016,SEPTIEMBRE,21/09 - 25/09,
PARQUE LOS ANDES,COMUNA 15,2016,SEPTIEMBRE,21/09 - 25/09,
SAN MARTIN,COMUNA 1,2016,SEPTIEMBRE,28/09 - 02/10,
MUJERES ARGENTINAS,COMUNA 1,2016,SEPTIEMBRE,28/09 - 02/10,
VERA PEÑALOZA,COMUNA 1,2016,SEPTIEMBRE,28/09 - 02/10,
MITRE,COMUNA 2,2016,SEPTIEMBRE,28/09 - 02/10,
MONSEÑOR DE ANDREA,COMUNA 2,2016,SEPTIEMBRE,28/09 - 02/10,
1RO DE MAYO,COMUNA 3,2016,SEPTIEMBRE,28/09 - 02/10,
VELAZCO IBARRA,COMUNA 3,2016,SEPTIEMBRE,28/09 - 02/10,
COLOMBIA,COMUNA 4,2016,SEPTIEMBRE,28/09 - 02/10,
PARQUE PATRICIOS,COMUNA 4,2016,SEPTIEMBRE,28/09 - 02/10,
BOEDO,COMUNA 5,2016,SEPTIEMBRE,28/09 - 02/10,
ALMAGRO,COMUNA 5,2016,SEPTIEMBRE,28/09 - 02/10,
PARQUE RIVADAVIA,COMUNA 6,2016,SEPTIEMBRE,28/09 - 02/10,
PARQUE CENTENARIO,COMUNA 6,2016,SEPTIEMBRE,28/09 - 02/10,285
PARQUE CHACABUCO,COMUNA 7,2016,SEPTIEMBRE,28/09 - 02/10,
PUEYRREDON,COMUNA 7,2016,SEPTIEMBRE,28/09 - 02/10,
SOLDATI,COMUNA 8,2016,SEPTIEMBRE,28/09 - 02/10,
SUDAMERICA,COMUNA 8,2016,SEPTIEMBRE,28/09 - 02/10,
PARQUE AVELLANEDA,COMUNA 9,2016,SEPTIEMBRE,28/09 - 02/10,
PARQUE SANTOJANNI,COMUNA 9,2016,SEPTIEMBRE,28/09 - 02/10,
VELEZ SARFIELD,COMUNA 10,2016,SEPTIEMBRE,28/09 - 02/10,
DON BOSCO,COMUNA 10,2016,SEPTIEMBRE,28/09 - 02/10,
ARISTOBULO DEL VALLE,COMUNA 11,2016,SEPTIEMBRE,28/09 - 02/10,
ARENALES,COMUNA 11,2016,SEPTIEMBRE,28/09 - 02/10,322
ALEM,COMUNA 12,2016,SEPTIEMBRE,28/09 - 02/10,
PARQUE SAAVEDRA,COMUNA 12,2016,SEPTIEMBRE,28/09 - 02/10,
MANUEL BELGRANO,COMUNA 13,2016,SEPTIEMBRE,28/09 - 02/10,
BALCARCE,COMUNA 13,2016,SEPTIEMBRE,28/09 - 02/10,
CASTELLI,COMUNA 13,2016,SEPTIEMBRE,28/09 - 02/10,
PALERMO VIEJO,COMUNA 14,2016,SEPTIEMBRE,28/09 - 02/10,
GUEMES,COMUNA 14,2016,SEPTIEMBRE,28/09 - 02/10,
25 DE AGOSTO,COMUNA 15,2016,SEPTIEMBRE,28/09 - 02/10,
PARQUE LOS ANDES,COMUNA 15,2016,SEPTIEMBRE,28/09 - 02/10,
SAN MARTIN,COMUNA 1,2016,OCTUBRE,05/10 - 09/10,
MUJERES ARGENTINAS,COMUNA 1,2016,OCTUBRE,05/10 - 09/10,
VERA PEÑALOZA,COMUNA 1,2016,OCTUBRE,05/10 - 09/10,
MITRE,COMUNA 2,2016,OCTUBRE,05/10 - 09/10,
MONSEÑOR DE ANDREA,COMUNA 2,2016,OCTUBRE,05/10 - 09/10,
1RO DE MAYO,COMUNA 3,2016,OCTUBRE,05/10 - 09/10,
VELAZCO IBARRA,COMUNA 3,2016,OCTUBRE,05/10 - 09/10,
COLOMBIA,COMUNA 4,2016,OCTUBRE,05/10 - 09/10,
PARQUE PATRICIOS,COMUNA 4,2016,OCTUBRE,05/10 - 09/10,
BOEDO,COMUNA 5,2016,OCTUBRE,05/10 - 09/10,
ALMAGRO,COMUNA 5,2016,OCTUBRE,05/10 - 09/10,
PARQUE RIVADAVIA,COMUNA 6,2016,OCTUBRE,05/10 - 09/10,
PARQUE CENTENARIO,COMUNA 6,2016,OCTUBRE,05/10 - 09/10,320
PARQUE CHACABUCO,COMUNA 7,2016,OCTUBRE,05/10 - 09/10,
PUEYRREDON,COMUNA 7,2016,OCTUBRE,05/10 - 09/10,
SOLDATI,COMUNA 8,2016,OCTUBRE,05/10 - 09/10,
SUDAMERICA,COMUNA 8,2016,OCTUBRE,05/10 - 09/10,
PARQUE AVELLANEDA,COMUNA 9,2016,OCTUBRE,05/10 - 09/10,
PARQUE SANTOJANNI,COMUNA 9,2016,OCTUBRE,05/10 - 09/10,
VELEZ SARFIELD,COMUNA 10,2016,OCTUBRE,05/10 - 09/10,
DON BOSCO,COMUNA 10,2016,OCTUBRE,05/10 - 09/10,
ARISTOBULO DEL VALLE,COMUNA 11,2016,OCTUBRE,05/10 - 09/10,
ARENALES,COMUNA 11,2016,OCTUBRE,05/10 - 09/10,482
ALEM,COMUNA 12,2016,OCTUBRE,05/10 - 09/10,
PARQUE SAAVEDRA,COMUNA 12,2016,OCTUBRE,05/10 - 09/10,
MANUEL BELGRANO,COMUNA 13,2016,OCTUBRE,05/10 - 09/10,
BALCARCE,COMUNA 13,2016,OCTUBRE,05/10 - 09/10,
CASTELLI,COMUNA 13,2016,OCTUBRE,05/10 - 09/10,
PALERMO VIEJO,COMUNA 14,2016,OCTUBRE,05/10 - 09/10,
GUEMES,COMUNA 14,2016,OCTUBRE,05/10 - 09/10,
25 DE AGOSTO,COMUNA 15,2016,OCTUBRE,05/10 - 09/10,
PARQUE LOS ANDES,COMUNA 15,2016,OCTUBRE,05/10 - 09/10,
SAN MARTIN,COMUNA 1,2016,OCTUBRE,12/10 - 16/10,
MUJERES ARGENTINAS,COMUNA 1,2016,OCTUBRE,12/10 - 16/10,
VERA PEÑALOZA,COMUNA 1,2016,OCTUBRE,12/10 - 16/10,
MITRE,COMUNA 2,2016,OCTUBRE,12/10 - 16/10,
MONSEÑOR DE ANDREA,COMUNA 2,2016,OCTUBRE,12/10 - 16/10,
1RO DE MAYO,COMUNA 3,2016,OCTUBRE,12/10 - 16/10,
VELAZCO IBARRA,COMUNA 3,2016,OCTUBRE,12/10 - 16/10,
COLOMBIA,COMUNA 4,2016,OCTUBRE,12/10 - 16/10,
PARQUE PATRICIOS,COMUNA 4,2016,OCTUBRE,12/10 - 16/10,
BOEDO,COMUNA 5,2016,OCTUBRE,12/10 - 16/10,
ALMAGRO,COMUNA 5,2016,OCTUBRE,12/10 - 16/10,
PARQUE RIVADAVIA,COMUNA 6,2016,OCTUBRE,12/10 - 16/10,
PARQUE CENTENARIO,COMUNA 6,2016,OCTUBRE,12/10 - 16/10,267
PARQUE CHACABUCO,COMUNA 7,2016,OCTUBRE,12/10 - 16/10,
PUEYRREDON,COMUNA 7,2016,OCTUBRE,12/10 - 16/10,
SOLDATI,COMUNA 8,2016,OCTUBRE,12/10 - 16/10,
SUDAMERICA,COMUNA 8,2016,OCTUBRE,12/10 - 16/10,
PARQUE AVELLANEDA,COMUNA 9,2016,OCTUBRE,12/10 - 16/10,
PARQUE SANTOJANNI,COMUNA 9,2016,OCTUBRE,12/10 - 16/10,
VELEZ SARFIELD,COMUNA 10,2016,OCTUBRE,12/10 - 16/10,
DON BOSCO,COMUNA 10,2016,OCTUBRE,12/10 - 16/10,
ARISTOBULO DEL VALLE,COMUNA 11,2016,OCTUBRE,12/10 - 16/10,
ARENALES,COMUNA 11,2016,OCTUBRE,12/10 - 16/10,439
ALEM,COMUNA 12,2016,OCTUBRE,12/10 - 16/10,
PARQUE SAAVEDRA,COMUNA 12,2016,OCTUBRE,12/10 - 16/10,
MANUEL BELGRANO,COMUNA 13,2016,OCTUBRE,12/10 - 16/10,
BALCARCE,COMUNA 13,2016,OCTUBRE,12/10 - 16/10,
CASTELLI,COMUNA 13,2016,OCTUBRE,12/10 - 16/10,
PALERMO VIEJO,COMUNA 14,2016,OCTUBRE,12/10 - 16/10,
GUEMES,COMUNA 14,2016,OCTUBRE,12/10 - 16/10,
25 DE AGOSTO,COMUNA 15,2016,OCTUBRE,12/10 - 16/10,
PARQUE LOS ANDES,COMUNA 15,2016,OCTUBRE,12/10 - 16/10,
SAN MARTIN,COMUNA 1,2016,OCTUBRE,19/10 - 23/10,
MUJERES ARGENTINAS,COMUNA 1,2016,OCTUBRE,19/10 - 23/10,
VERA PEÑALOZA,COMUNA 1,2016,OCTUBRE,19/10 - 23/10,
MITRE,COMUNA 2,2016,OCTUBRE,19/10 - 23/10,
